,BRTITLE,BRNUM,STORYNUM,BRSTORY,MAINCHAR,ALLCHAR,ORIGTITLE,ORIGNUM,ORIGYEAR,WRITER,ARTIST,SUMMARY
262,Heróis da TV,59,2,"Ao salvador, o exílio",Quarteto Fantástico,Quarteto Fantástico Senhor Fantástico Coisa Tocha Humana II Mulher Invisível Surfista Prateado Galactus Vigia Alicia Masters Inumanos Medusa Raio Negro Cristalys Gorgon Wyatt Wingfoot Ricardo Jones,Fantastic Four,50,1966,Stan Lee,Jack Kirby,NA
263,Heróis da TV,59,3,Cinco vidas para salvar o amanhã,Vingadores,"Vingadores Capitão América Feiticeira Escarlate Gavião Arqueiro Homem de Ferro Mercúrio Thor Visão II Vigia
Argumento: Harlan Ellison Roteiro: Roy Thomas Desenho: Rich Buckler Arte-Final: Dan Adkins Cores: Cleusa M. C. Acosta Letrista: Edison Gasparim Tradutor: Jotapê Martins Editor original: Stan Lee
Publicada originalmente em  Avengers The (1963) n° 101/1972 - Marvel Comics
       
Título original ""Five Dooms to Save Tomorrow!"" Adaptado de um conto de Harlan Ellison.Um estranho homem brilhante surge com a missão de destruir cinco mentes brilhantes. O mais estranho é que tal missão foi dada pelo Vigia que tenciona salvar o mundo de um holocausto nuclear. Os Vingadores são envolvidos na trama e tentam impedir que os cinco inocentes sejam assassinados.21 Páginas","Avengers, The",101,1972,Roy Thomas,Rich Buckler,NA
264,Heróis da TV,59,4,A maldição dourada,Conan,"Conan O Bárbaro Kull Juma Yolinda
História: L. Sprague de Camp Linwood Vrooman Carter - ‘Lin Carter’ Roteiro: Roy Thomas Arte: Neal Adams Cores: Flora Schuch Letrista: José Luiz Torres Pinto Tradutor: Jotapê Martins Editor original: Roy Thomas
Publicada originalmente em  Conan The Barbarian (1970) n° 37/1974 - Marvel Comics
       
Título original ""The Curse of the Golden Skull!""Inspirado pelo conto de L. Sprague de Camp e Lin Carter .Milhares de anos atrás após uma derrota por Kull o mago Rotath morre em seu templo mas não antes de lançar um feitiço final... na era hiboreana Conan cavalgando com uma companhia de soldados em missão para limpar as tribos das montanhas mais caem numa armadilha em que apenas Conan e Juma o Negro sobrevivem assim como a princesa Yolinda! Então cativos do mago banhado a ouro!19 Páginas",Conan The Barbarian,37,1974,"Roy Thomas Arte:  Neal Adams Cores:  Flora Schuch Letrista:  José Luiz Torres Pinto Tradutor:  Jotapê Martins Editor original:  Roy Thomas
Publicada originalmente em   Conan The Barbarian (1970) n° 37/1974 - Marvel Comics
             
Título original ""The Curse of the Golden Skull!""Inspirado pelo conto de L. Sprague de Camp e Lin Carter .Milhares de anos atrás, após uma derrota por Kull, o mago Rotath morre em seu templo, mas não antes de lançar um feitiço final... na era hiboreana Conan, cavalgando com uma companhia de soldados em missão para limpar as tribos das montanhas, mais caem numa armadilha em que apenas Conan e Juma, o Negro, sobrevivem, assim como a princesa Yolinda! Então cativos do mago banhado a ouro!19 Páginas",NA,NA
265,Heróis da TV,60,1,Num reino dourado / Um mundo em tormento / Lágrimas no paraíso,Doutor Estranho,"Doutor Estranho Clea Ancião Phaydra
Argumento: Marv Wolfman P. Craig Russell Roteiro: Marv Wolfman Arte: P. Craig Russell Cores: Rita de Carvalho Letrista: José Luiz Torres Pinto Tradutor: Jotapê Martins Editor original: Marv Wolfman
Publicada originalmente em  Doctor Strange Annual (1976) n° 1/1976 - Marvel Comics
       
35 páginas (17 pgs / 6 pgs / 12 pgs).Títulos originais: ""...And there will be worlds anew! / A planet in turmoil! / A city born in tears!"".",Doctor Strange Annual,1,1976,"Marv Wolfman Arte:  P. Craig Russell Cores:  Rita de Carvalho Letrista:  José Luiz Torres Pinto Tradutor:  Jotapê Martins Editor original:  Marv Wolfman
Publicada originalmente em   Doctor Strange Annual (1976) n° 1/1976 - Marvel Comics
             
35 páginas (17 pgs / 6 pgs / 12 pgs).Títulos originais: ""...And there will be worlds anew! / A planet in turmoil! / A city born in tears!"".",NA,..And there will be worlds anew! / A planet in turmoil! / A city born in tears!
266,Heróis da TV,60,2,Meu ódio será tua herança,Vingadores,"Vingadores Capitão América Feiticeira Escarlate Gavião Arqueiro Homem de Ferro Mercúrio Thor Visão II Sentinela (Robô) Major Talbot Sentinelas
Argumento: Roy Thomas Chris Claremont Roteiro: Roy Thomas Desenho: Rich Buckler Arte-Final: Joe Sinnott Cores: Rita de Carvalho Letrista: Edison Gasparim Tradutor: Jotapê Martins Editor original: Stan Lee
Publicada originalmente em  Avengers The (1963) n° 102/1972 - Marvel Comics
       
16 páginas (das 20 originais).Título original: ""What to Do Till the Sentinels Come!"".Os Vingadores enfrentam uma ameaça vinda do passado dos X-Men os gigantescos robôs caçadores de mutantes conhecidos como Sentinelas que acabam de raptar a Feiticeira Escarlate.A Abril substituiu o General Ross pelo Glenn Talbot na história.16 Páginas","Avengers, The",102,1972,Roy Thomas,Rich Buckler,"Os Vingadores enfrentam uma ameaça vinda do passado dos X-Men, os gigantescos robôs caçadores de mutantes conhecidos como Sentinelas, que acabam de raptar a Feiticeira Escarlate.A Abril substituiu o General Ross pelo Glenn Talbot na história.16 Páginas"
267,Heróis da TV,60,3,Um mundo enlouquecido,Thor,Thor Fandral Hogun Volstagg Odin Balder Asgardianos Karnilla Grão-Vizir (Asgardiano) Heimdall Kamorr Sif Hildegarde (Valquíria) Tana Nile Silas Grant Ego O Planeta Vivo Filho do Ego Grão-Comissário Rigeliano,Thor,197,1972,Gerry Conway,John Buscema,
268,Heróis da TV,61,1,Os Sentinelas estão de volta!,Vingadores,Vingadores Capitão América Thor Homem de Ferro Gavião Arqueiro Visão II Mercúrio Irmandade de Mutantes Blob Groxo Feiticeira Escarlate Mesmero Mestre Mental Larry Trask Nick Fury Peter Corbeau Vanisher Juiz Chalmers Sentinela (Robô) Sentinelas,"Avengers, The",103,1972,Roy Thomas,Rich Buckler,NA
269,Heróis da TV,61,2,Corrida contra o destino,Thor,Thor Homem de Ferro Vingadores Gavião Arqueiro Capitão América Visão II Feiticeira Escarlate Mercúrio Larry Trask Sentinela (Robô) Número Dois (Sentinela) Sentinelas,"Avengers, The",104,1972,Roy Thomas,Rich Buckler,NA
270,Heróis da TV,61,3,A origem do Povo-Gato,Vigia,Vigia Tigresa Ebrok,What If?,35,1982,"Roger Stern Arte:  Steve Ditko Cores:  Carmen Letrista:  José Luiz Torres Pinto Tradutor:  Jotapê Martins Editor original:  Mark Gruenwald,  Michael ""Mike"" Carlin,  Jim Shooter
Publicada originalmente em   What If? (1977) n° 35/1982 - Marvel Comics
             
Título original: ""And thus are born the Cat People!"".7 Páginas",NA,7 Páginas
271,Heróis da TV,61,4,O mais longo dos dias!,Thor,Thor Balder Sif Hogun Fandral Volstagg Hildegarde (Valquíria) Tana Nile Silas Grant Ego O Planeta Vivo Filho do Ego Karnilla Grão-Vizir (Asgardiano) Odin Heimdall Kamorr Genii,Thor,202,1972,Gerry Conway,John Buscema,20 Páginas
272,Heróis da TV,62,1,Maldição,Conan,"Conan O Bárbaro Amytis Narim-Bey Feyd-Ratha
História: Robert E. Howard Roteiro: Roy Thomas Arte: John Buscema Cores: Rita de Carvalho Letrista: José Luiz Torres Pinto Tradutor: Jotapê Martins Editor original: Len Wein
Publicada originalmente em  Conan The Barbarian (1970) n° 38/1974 - Marvel Comics
       
Título original ""The Warrior and the Were-Woman"". Adaptação livre do conto ""Os Domínios de Arabu"" de Robert E. Howard o criador de Conan.Conan participa de uma festa em sua homenagem por resgatar a princesa Yolinda! Muitas intrigas envolve o Cimério ataques misteriosos vozes e sombras estranhas o perseguem...Lilitu uma mulher-lobo marcou Conan sobrenaturalmente... o único que pode suspender a maldição é o mago Gimil-Ishbi!19 Páginas",Conan The Barbarian,38,1974,"Roy Thomas Arte:  John Buscema Cores:  Rita de Carvalho Letrista:  José Luiz Torres Pinto Tradutor:  Jotapê Martins Editor original:  Len Wein
Publicada originalmente em   Conan The Barbarian (1970) n° 38/1974 - Marvel Comics
             
Título original ""The Warrior and the Were-Woman"". Adaptação livre do conto ""Os Domínios de Arabu"", de Robert E. Howard, o criador de Conan.Conan participa de uma festa em sua homenagem por resgatar a princesa Yolinda! Muitas intrigas envolve o Cimério, ataques misteriosos, vozes e sombras estranhas o perseguem...Lilitu, uma mulher-lobo, marcou Conan sobrenaturalmente... o único que pode suspender a maldição é o mago Gimil-Ishbi!19 Páginas",NA,"Adaptação livre do conto ""Os Domínios de Arabu"", de Robert E. Howard, o criador de Conan.Conan participa de uma festa em sua homenagem por resgatar a princesa Yolinda! Muitas intrigas envolve o Cimério, ataques misteriosos, vozes e sombras estranhas o perseguem...Lilitu, uma mulher-lobo, marcou Conan sobrenaturalmente... o único que pode suspender a maldição é o mago Gimil-Ishbi!19 Páginas"
273,Heróis da TV,62,2,As duas faces da loucura,Homem de Ferro,Homem de Ferro Inferno Pepper Potts Happy Hogan Roxanne Gilbert Marianne (Marion) Rodgers Simon Gilbert,Iron Man,59,1973,Mike Friedrich,George Tuska,NA
274,Heróis da TV,62,3,O fim da divindade,Clea,Clea Ancião Doutor Estranho Xander,Doctor Strange,19,1976,"Marv Wolfman Arte:  Alfredo Alcala Cores:  Rita de Carvalho Letrista:  José Luiz Torres Pinto Tradutor:  Jotapê Martins Editor original:  Marv Wolfman
Publicada originalmente em   Doctor Strange (1974) n° 19/1976 - Marvel Comics
             
Título original ""Lo, the powers changeth!""Lutando com Stygyro, Strange o derrota e depois usa seus poderes para reverter o efeito que a batalha teve na história. Strange então confronta o Ancião que lhe diz que Strange está em um teste final...** Ob: (10 páginas das 17 originais).10 Páginas",NA,NA
275,Heróis da TV,62,4,Quando os homens se tornam deuses,Thor,Thor Balder Sif Fandral Hogun Volstagg Hildegarde (Valquíria) Heimdall Odin Grão-Vizir (Asgardiano) Filho do Ego Genii Silas Grant Karnilla Kamorr Tana Nile Jovens Deuses Colheita Espada Brilhante,Thor,203,1972,Gerry Conway,John Buscema,NA
276,Heróis da TV,63,1,Exilado na Terra para sempre,Thor,Thor Sif Odin Balder Heimdall Kamorr Karnilla Tana Nile Jarvis Homem de Ferro Fandral Volstagg Hogun Hildegarde (Valquíria) Silas Grant Mefisto Grão-Vizir (Asgardiano) Mercúrio (Homem da Quarta Dimensão),Thor,204,1972,Gerry Conway,John Buscema,
277,Heróis da TV,63,2,O preço do amor,Surfista Prateado,Surfista Prateado Quarteto Fantástico Senhor Fantástico Coisa Tocha Humana II Medusa Doutor Destino Shalla Bal,Fantastic Four,155,1975,Len Wein,Rich Buckler,
278,Heróis da TV,63,3,A Gangue da Demolição,Punho de Ferro,Punho de Ferro Misty Knight Colleen Wing Bate-Estaca Maça Aríete Destruidor Demolidor Heather Glenn Roger Stern,Iron Fist,11,1977,Chris Claremont,John Byrne,13 Páginas
279,Heróis da TV,63,4,O discípulo do terror,Vingadores,Vingadores Feiticeira Escarlate Gavião Arqueiro Homem de Ferro Pantera Negra Thor Visão II Campeão,"Avengers, The",109,1973,Steve Englehart - ‘John Harkness’,Don Heck,"O romance entre Feiticeira Escarlate e Visão fica cada vez mais evidente e isso desagrada seu antigo pretendente: o Gavião Arqueiro. Chateado por ter sido colocado de lado, ele decide deixar os Vingadores e aceitar a proposta de treinar o gigante Campeão. As intenções do gigantesco milionário, no entanto, são um tanto quanto vilanescas e resta aos Vingadores livrarem seu rebelde integrante das garras dessa ameaça.19 Páginas"
280,Heróis da TV,64,1,O poço do tormento!,Thor,Thor Mefisto Balder Volstagg Hogun Fandral Sif Hildegarde (Valquíria) Adolf Hitler,Thor,205,1972,Gerry Conway,John Buscema,
281,Heróis da TV,64,2,Ataque à mansão dos Vingadores,Punho de Ferro,Punho de Ferro Capitão América Jarvis Misty Knight Gangue da Demolição Destruidor Aríete Bate-Estaca Maça,Iron Fist,12,1977,Chris Claremont,John Byrne,17 Páginas
282,Heróis da TV,64,3,Um amor longe demais,Surfista Prateado,Surfista Prateado Quarteto Fantástico Senhor Fantástico Coisa Tocha Humana II Medusa Doutor Destino Mefisto Shalla Bal Apocalipse,Fantastic Four,156,1975,"Roy Thomas,  Len Wein",Rich Buckler,
283,Heróis da TV,65,1,O espião que me odiava,Homem de Ferro,"Homem de Ferro Espião Mestre
Argumento: David Michelinie Desenho: John Romita Jr. Arte-Final: Bob Layton Editor original: Roger Stern Jim Shooter
Publicada originalmente em  Iron Man (1968) n° 117/1978 - Marvel Comics
       
Titulo original ""The Spy Who Killed Me!""De um telhado do outro lado da rua da cobertura de Tony Stark o Spymaster dispara um rifle sniper. A bala bate na janela do escritório atingindo Tony Stark na parte de trás da cabeça. Contente com um trabalho bem feito o Spymaster foge. O que ele ainda não percebe é que o homem que ele ""matou"" era na verdade um chamariz artificial do modelo de vida projetado para se parecer com Tony Stark.17 Páginas",Iron Man,117,1978,NA,John Romita Jr.,NA
284,Heróis da TV,65,2,Almas em perigo,"Doutor Estranho
Roteiro:  Chris Claremont Arte:  Marshall Rogers",Doutor Estranho,Marvel Fanfare,5,1982,"Chris Claremont Arte:  Marshall Rogers,  P. Craig Russell Editor original:  Allen ""Al"" Milgrom,  Jim Shooter
Publicada originalmente em   Marvel Fanfare (1982) n° 5/1982 - Marvel Comics
             
Título original ""To Steal the Sorcerer's Soul!""Nicodemos hipnotiza uma criança para ajudá-la a invadir o Santuário do Doutor Strange e tentar roubar o poder do Feiticeiro Supremo. Strange e Clea trabalham juntos para dar a ele exatamente o que ele quer, transferindo brevemente todo o seu poder para Nicodemos, transformando-o em uma criatura parecida com Dormammu.17 Páginas",NA,NA
285,Heróis da TV,65,3,A volta do Espadachim,Vingadores,Vingadores Capitão América Espadachim Feiticeira Escarlate Homem de Ferro Mantis Pantera Negra Thor Visão II Deus Leão,"Avengers, The",114,1973,Steve Englehart - ‘John Harkness’,Bob Brown,NA
286,Heróis da TV,65,4,O dragão do mar,Conan,"Conan O Bárbaro
Argumento: Roy Thomas Arte: John Buscema Editor original: Roy Thomas Len Wein
Publicada originalmente em  Conan The Barbarian (1970) n° 39/1974 - Marvel Comics
       
Título original ""The Dragon From the Inland Sea!""Conan é atacado por ladrões matando-os mais seu cavalo quebra perna e é Conan é picado por uma víbora desmaiando é salvo por uma Rachalla e seu tio Ben-Hussalo senhor do vilarejo de Keshaan e foi abandonado pelo sacerdote louco Ghul-Azalel. O sacerdote convence-o a sacrificar virgens ao dragão do mar para encerrar uma maldição... mais quando sugere o sobrinha os dois fugiram da cidade... os dois pedem a ajuda de Conan para voltar a vila!19 Páginas",Conan The Barbarian,39,1974,NA,NA,NA
287,Heróis da TV,66,1,À mercê de meus amigos,Homem de Ferro,"Homem de Ferro Sra. Arbogast Bethany Cabe S.H.I.E.L.D. Nick Fury Jim Rhodes
Argumento: David Michelinie Bob Layton Roteiro: David Michelinie Desenho: John Byrne Arte-Final: Bob Layton Cores: Cleusa M. C. Acosta Letrista: José Luiz Torres Pinto Editor original: Roger Stern Jim Shooter Jim Salicrup
Publicada originalmente em  Iron Man (1968) n° 118/1979 - Marvel Comics",Iron Man,118,1979,David Michelinie,John Byrne,NA
288,Heróis da TV,66,2,Entre dois fogos,Homem de Ferro,"Homem de Ferro Yvette Avril
Argumento: David Michelinie Bob Layton Roteiro: David Michelinie Desenho: John Romita Jr. Arte-Final: Bob Layton Editor original: Roger Stern Jim Shooter Jim Salicrup
Publicada originalmente em  Iron Man (1968) n° 119/1979 - Marvel Comics",Iron Man,119,1979,David Michelinie,John Romita Jr.,NA
289,Heróis da TV,66,3,Renascimento,Thor,Thor Homem Absorvente Jarvis Sif Hildegarde (Valquíria) Karnilla Grão-Vizir (Asgardiano) Balder Asgardianos Volstagg Hogun Fandral Loki,Thor,206,1972,Gerry Conway,John Buscema,NA
290,Heróis da TV,66,4,Sinbad,,,NA,NA,NA,NA,NA,NA
291,Heróis da TV,67,1,A estrela e os ratos,Ishtar,"Ishtar Conan O Bárbaro Libro
História: Michael Resnick Argumento: Roy Thomas Desenho: Rick Buckler Jr. Arte-Final: Ernie ""Chua"" Chan Editor original: Roy Thomas Len Wein
Publicada originalmente em  Conan The Barbarian (1970) n° 40/1974 - Marvel Comics
       
Titulo original ""The Fiend from the Forgotten City.""Conan se depara com um viajante moribundo no deserto que implora ao bárbaro que o leve a uma cidade escondida no deserto cheia de tesouros não reclamados. Mesmo desconfiado Conan leva o homem Libro com ele e diz para ele esperar nos arredores da cidade quando eles finalmente chegarem. A cidade em ruínas cheia de ossos intriga Conan que nem imagina o que o espera!15 Páginas",Conan The Barbarian,40,1974,NA,Rick Buckler Jr.,NA
292,Heróis da TV,67,2,A espada de fogo,Thor,"Thor Sif Loki Homem Absorvente Karnilla Hildegarde (Valquíria) Gerry Conway Steve Englehart Tom Fagan Len Wein Glynis Wein
Argumento: Gerry Conway Desenho: John Buscema Arte-Final: Vince Colletta Cores: Cleusa M. C. Acosta Editor original: Roy Thomas
Publicada originalmente em  Thor (1966) n° 207/1973 - Marvel Comics
       
Titulo original ""Firesword!""Thor seguiu o Homem Absorvente até Vermont que está apenas começando sua festa de anual. Thor consegue derrotá-lo ao jogá-lo no lago onde ele absorve as propriedades da água e começa a fluir. Mas então Loki chega que por meios místicos transformou dois cães para matar Thor. Thor derrota os cães então Loki convoca a Espada de Fogo. Thor consegue derrotar Loki com um raio que tem o efeito colateral de cegá-lo..19 Páginas",Thor,207,1973,NA,John Buscema,NA
293,Heróis da TV,67,3,Sob o signo da morte,Vingadores,"Vingadores Homem de Ferro Visão II Feiticeira Escarlate Espadachim Jarvis Zodíaco Thor Mantis Gêmeos Touro II (Zodíaco) Virgem Aries II (Zodíaco) Capricórnio Aquário Câncer Leão (Zodíaco) Sagitário Libra Peixes Escorpião II (Zodíaco)
Argumento: Steve Englehart - ‘John Harkness’ Desenho: Bob Brown Arte-Final: Don Heck Editor original: Roy Thomas
Publicada originalmente em  Avengers The (1963) n° 120/1974 - Marvel Comics
       
Título original ""Death-Stars of the Zodiac!""Damien e Joshua Link são irmãos que apesar de idênticos são muito diferentes um do outro. Enquanto o primeiro é um oficial da Polícia de NY o segundo é o criminoso conhecido como Gêmeos do famigerado Zodíaco! Com sua ajuda e da nova arma do bando um raio estelar capaz de matar todos os geminianos da cidade os vilões pretendem dar o troco pela derrota que sofreram no passado! E a única esperança dos Vingadores reside nas mãos de... ""Mantis""!19 Páginas","Avengers, The",120,1974,NA,Bob Brown,NA
294,Heróis da TV,67,4,O jardim dos condenados,Conan,"Conan O Bárbaro Zhadorr de Shar-Al-Tjinn
Argumento: Roy Thomas Desenho: John Buscema Arte-Final: Ernie ""Chua"" Chan Letrista: Nilton K. Morise Editor original: Roy Thomas Len Wein
Publicada originalmente em  Conan The Barbarian (1970) n° 41/1974 - Marvel Comics
       
Titulo original ""The Quest For the Cobra Crown.""Ao entrar em vilarejo zamoriano Conan depara-se com apedrejamento de uma jovem Conan a salva de ser linchada e partem para o deserto fugindo dos agressores Conan estranha os modos da moça mais não diz nada! Ao chegarem no oásis fugindo de escravistas Conan e a jovem Zhadorr e os seus algores tem uma noite de horror!Obs.: A Editora Abril cortou a 3ª página da história original apresentada na íntegra em ""Conan O Bárbaro"" 19 Mythos Editora.18 Páginas",Conan The Barbarian,41,1974,NA,John Buscema,NA
295,Heróis da TV,68,1,O poder das estrelas,Vingadores,Vingadores Thor Homem de Ferro Feiticeira Escarlate Visão II Espadachim Mantis Pantera Negra Capitão América Zodíaco,"Avengers, The",121,1974,Steve Englehart - ‘John Harkness’,John Buscema,19 Páginas
296,Heróis da TV,68,2,Inimigos em órbita - Parte II,"Vingadores
Roteiro:  Steve Englehart - ‘John Harkness’ Desenho:  Bob Brown Arte-Final:  Mike Esposito - ‘Joe Gaudioso/Mickey Demeo’ Editor original:  Roy Thomas
Publicada originalmente em   Avengers",Vingadores,"Avengers, The",122,1974,Steve Englehart - ‘John Harkness’,Bob Brown,NA
297,Heróis da TV,68,3,"Xander, o impiedoso","Doutor Estranho
Roteiro:  Marv Wolfman Arte:  Rudy Nebres
Publicada originalmente em   Doctor Strange (1974) n° 20/1976 - Marvel Comics",Doutor Estranho,Doctor Strange,20,1976,"Marv Wolfman Arte:  Rudy Nebres
Publicada originalmente em   Doctor Strange (1974) n° 20/1976 - Marvel Comics",NA,NA
298,Heróis da TV,68,4,A morte vem do mar,Homem de Ferro,Homem de Ferro Namor O Príncipe Submarino Bethany Cabe Sra. Arbogast Justin Hammer Jim Rhodes Yvette Avril Roxxon Jonas Hale,Iron Man,120,1979,"David Michelinie,  Bob Layton",John Romita Jr.,
299,Heróis da TV,69,1,Caçada humana no futuro,"Deathlok
Argumento:  Rich Buckler","Deathlok
Argumento: Rich Buckler Doug Moench Desenho: Rich Buckler Arte-Final: Pablo Marcos
Publicada originalmente em  Astonishing Tales (1970) n° 25/1974 - Marvel Comics 
                
                
                  n° 26/1974 - Marvel Comics 
                
                
                  n° 27/1974 - Marvel Comics",Astonishing Tales,25,1974,NA,Rich Buckler,NA
300,Heróis da TV,69,2,Tomada pela loucura,"Doutor Estranho
Argumento:  Marv Wolfman Arte:  Rudy Nebres
Publicada originalmente em   Doctor Strange (1974) n° 22/1977 - Marvel Comics","Doutor Estranho
Argumento: Marv Wolfman Arte: Rudy Nebres
Publicada originalmente em  Doctor Strange (1974) n° 22/1977 - Marvel Comics",Doctor Strange,22,1977,NA,NA,NA
301,Heróis da TV,69,3,Pesadelo!,Ka-Zar,"Ka-Zar Shanna
Argumento: Brent Anderson Bruce Jones Jerry Bingham Roteiro: Bruce Jones Desenho: Brent Anderson Jerry Bingham Arte-Final: Carlos Garzón Editor original: Louise Jones Simonson
Publicada originalmente em  Ka-Zar: The Savage (1981) n° 7/1981 - Marvel Comics",Ka-Zar: The Savage,7,1981,Bruce Jones,"Brent Anderson,  Jerry Bingham",NA
302,Heróis da TV,70,1,Amargo regresso,Surfista Prateado,Surfista Prateado Mefisto Shalla Bal Alicia Masters Galactus Quarteto Fantástico Doutor Destino Mulher Invisível Coisa Tocha Humana II,"Silver Surfer, The",1,1982,Stan Lee,John Byrne,NA
303,Heróis da TV,70,2,Senhor das Estrelas,Surfista Prateado,Surfista Prateado Mefisto Shalla Bal Alicia Masters Galactus Quarteto Fantástico Doutor Destino Mulher Invisível Coisa Tocha Humana II,"Silver Surfer, The",1,1982,Stan Lee,John Byrne,NA
304,Heróis da TV,70,3,Morte no mar,Homem de Ferro,Homem de Ferro Namor O Príncipe Submarino Bethany Cabe Jim Rhodes Roxxon Jonas Hale,Iron Man,121,1979,"David Michelinie,  Bob Layton",John Romita Jr.,
305,Heróis da TV,71,1,Cinnibar,Senhor das Estrelas,"Senhor das Estrelas Jason (Spartax) Meredith Quill
Argumento: Chris Claremont Desenho: John Byrne Arte-Final: Terry Austin Editor original: Archie Goodwin Ralph Macchio Roger Slifer John David Warner
Publicada originalmente em  Marvel Preview (1975) n° 11/1977 - Marvel Comics
       
Titulos originais 1. Windhölme /",Marvel Preview,11,1977,NA,John Byrne,NA
306,Heróis da TV,71,2,A espada e a magia,Starr,Starr O Matador Trull O Feiticeiro Len Carson Guarda O'neal Morro O Menestrel,Chamber of Darkness,4,1970,"Roy Thomas Arte:  Barry Windsor-Smith Cores:  Carmen Tzanno Editor original:  Stan Lee
Publicada originalmente em   Chamber of Darkness (1969) n° 4/1970 - Marvel Comics
             
Primeira história de teste para a publicação de Conan antes da Marvel conseguir os direitos do personagem.O novelista Len Carson planeja escrever a última história do seu personagem mais popular de espada e feitiçaria: Starr o Matador. Ele quer matar o protagonista, mas a sua criação ganha vida e vai atrás de Len para que ele não o mate.Título original: ""The Sword and the Sorcerers!"".7 Páginas",NA,7 Páginas
307,Heróis da TV,71,3,Manto e Adaga,Manto,"Manto Adaga Mayhem
Argumento: Bill Mantlo Desenho: Rick Leonardi Arte-Final: Terry Austin Letrista: Edison Gasparim Editor original: Jim Shooter Tom Defalco
Publicada originalmente em  Cloak And Dagger (1983) n° 1/1983 - Marvel Comics
       
Titulo original The Priest""O padre Francis Delgado passa por uma multidão de traficantes de drogas em Hell's Kitchen a caminho da Igreja do Espírito Santo. Quando ele entra na reitoria ele encontra dois indivíduos sobre-humanos em pé diante dele -",Cloak And Dagger,1,1983,NA,Rick Leonardi,NA
308,Heróis da TV,72,1,A origem do Quarteto Futuro,"Quarteto Futuro
Roteiro:  Louise Jones Simonson Desenho:  June Brigman Arte-Final:  Bob Wiacek
Publicada originalmente em   Power Pack (1984) n° 1/1984 - Marvel Comics",Quarteto Futuro,Power Pack,1,1984,Louise Jones Simonson,June Brigman,NA
309,Heróis da TV,72,2,Uma origem para Mantis,Vingadores,Vingadores Espadachim Feiticeira Escarlate Homem de Ferro Mantis Pantera Negra Thor Visão II Zodíaco Libra Touro II Câncer Capricórnio Leão (Zodíaco),"Avengers, The",123,1974,Steve Englehart - ‘John Harkness’,Bob Brown,NA
310,Heróis da TV,72,3,Cassino fatal,Homem de Ferro,Homem de Ferro Bethany Cabe Nevasca Chicote Negro Derretedor Sra. Arbogast,Iron Man,123,1979,"David Michelinie,  Bob Layton",John Romita Jr.,
311,Heróis da TV,73,1,Viagem ao certo da Terra,Micronautas,Micronautas Comandante Arcturus Rann Princesa Mari Biotron Acrólito Besouro (Micronauta) Barão Karza,"Micronauts, The",1,1979,Bill Mantlo,Michael Golden,NA
312,Heróis da TV,73,2,Perdidos no mundo,"Quarteto Futuro
Roteiro:  Louise Jones Simonson Desenho:  June Brigman Arte-Final:  Bob Wiacek
Publicada originalmente em   Power Pack (1984) n° 2/1984 - Marvel Comics",Quarteto Futuro,Power Pack,2,1984,Louise Jones Simonson,June Brigman,NA
313,Heróis da TV,73,3,Cartada final,Homem de Ferro,Homem de Ferro Chicote Negro Derretedor Sra. Arbogast Bethany Cabe Justin Hammer Nevasca,Iron Man,124,1979,"David Michelinie,  Bob Layton",John Romita Jr.,
314,Heróis da TV,74,1,Prelúdio em Mônaco,Homem de Ferro,Homem de Ferro Bethany Cabe Visão II Vespa Falcão Fera Capitão América Homem-Formiga II Chicote Negro Jim Rhodes Justin Hammer Vingadores Roxxon Sra. Arbogast,Iron Man,125,1979,"David Michelinie,  Bob Layton",John Romita Jr.,
315,Heróis da TV,74,2,Mergulho,Quarteto Futuro,Quarteto Futuro Graviton Arco-Íris Chispinha Densus Snarks,Power Pack,3,1984,Louise Jones Simonson,June Brigman,NA
316,Heróis da TV,74,3,Três deuses na cidade,Fandral,Fandral Hogun Volstagg,Marvel Spotlight,30,1976,Len Wein,John Buscema,NA
317,Heróis da TV,74,4,Duelo moral na praia de Daytona,Micronautas,Micronautas Steve Coffin,"Micronauts, The",3,1979,Bill Mantlo,Michael Golden,NA
318,Heróis da TV,75,1,A noite do dragão,Punho de Ferro,Punho de Ferro Homem-Aranha Misty Knight Serpente de Aço Bushmaster,Marvel Team-Up,63,1977,Chris Claremont,John Byrne,NA
319,Heróis da TV,75,2,Um raio do passado,Vingadores,Vingadores Feiticeira Escarlate Gavião Arqueiro Homem de Ferro Mantis Espadachim Thor Visão II Kang O Conquistador Rama Tut,Giant-Size Avengers,2,1974,"Steve Englehart - ‘John Harkness’ Arte:  Dave Cockrum Editor original:  Roy Thomas
Publicada originalmente em   Giant-Size Avengers (1974) n° 2/1974 - Marvel Comics
             
Os Vingadores mais uma vez têm que enfrentar Kang, o Conquistador! Desta vez, o vilão do futuro vem ao século XX no intuito de raptar e “desposar” a Madonna Celestial, que ele acredita ser Wanda, Mantis ou Agatha Harkness! Capturando o Visão, Homem de Ferro e Thor, Kang planeja usá-los para deflagrar a 3ª Guerra Mundial! Cabe ao Espadachim e ao Gavião Arqueiro encarar essa barra! Mas, eles terão uma ajuda crucial: o Faraó Ramatut! O “Kang do passado”! Título original: ""A Blast From the Past!""29 Páginas",NA,NA
