,BRTITLE,BRNUM,STORYNUM,BRSTORY,MAINCHAR,ALLCHAR,ORIGTITLE,ORIGNUM,ORIGYEAR,WRITER,ARTIST,SUMMARY
34,Heróis da TV,6,5,A vingança é minha,Capitão Marvel,Capitão Marvel Rick Jones Carol Danvers Mordecai Boggs Yon-Rogg Una,Captain Marvel,18,1969,Roy Thomas,"John Buscema,  John Romita,  Gil Kane",NA
35,Heróis da TV,6,6,Buscando a eternidade,Thor,Thor Jane Foster Jim North Odin Loki Balder Karnilla,Thor,172,1970,Stan Lee,Jack Kirby,"O Doutor Jim North procura o Don Blake para que ele o ajude a encontrar Thor. Jane, sua namorada (e ""ex"" de Blake) foi seqüestrada pelo misterioso bilionário Kronin Krask para forçá-lo a realizar uma experiência: ele deseja trocar de mentes com o próprio deus do trovão.18 Páginas"
36,Heróis da TV,7,1,Combate no reino eterno,Surfista Prateado,Surfista Prateado Thor Loki Odin Balder Fandral Heimdall Hogun Igron Sif Galactus Shalla Bal Volstagg Hulk Coisa Mefisto Hércules Asgardianos Zeus Tomazooma (Robô),"Silver Surfer, The",4,1969,Stan Lee,John Buscema,"Como duas almas tão nobres podem se digladiar sem motivo? Asgard, o Reino Eterno de Odin, transforma-se num campo de batalha quando o poderoso Deus do Trovão é desafiado pelo nosso ex-arauto de Galactus. Em estrondoso confronto, o poder de um deus nórdico contra a força cósmica de um herói amargurado.39 Páginas"
37,Heróis da TV,7,2,Nos dias da 2ª Guerra Mundial,Capitão América,Capitão América Bucky Sando Omar Sargento Duffy X-13 (Agente R),Tales of Suspense,64,1965,Stan Lee,Jack Kirby,10 Páginas
38,Heróis da TV,7,3,O coração do dragão,Punho de Ferro,"Punho de Ferro Trovejante Yu-Ti Shou-Lao
Argumento: Roy Thomas Roteiro: Len Wein Desenho: Larry Hama Arte-Final: Dick Giordano Klaus Janson Editor original: Roy Thomas
Publicada originalmente em  Marvel Premiere (1972) n° 16/1974 - Marvel Comics
       
Punho de Ferro lembra do início de seu treinamento em Kun Lun e de quando enfrentou o dragão Shu Lao — ocasião na qual adquiriu a cicatriz que queima em seu peito. No presente ele é atacado pelo mercenário Ceifador que diz haver um prêmio pela sua cabeça. Ao derrotar o assassino nosso herói descobre que quem está querendo sua morte é o próprio assassino de seu pai Harold Meachum. (by Jalfredow) Título original: ""Heart of the dragon!""18 Páginas",Marvel Premiere,16,1974,Len Wein,Larry Hama,NA
39,Heróis da TV,7,4,O roubo do martelo,Thor,"Thor Loki Heimdall Frigga (Friga/Fricka) Neri Jane Foster Odin
Argumento: Stan Lee Roteiro: Robert Bernstein - ‘R Berns’ Arte: Joe Sinnott Cores: Rita de Carvalho Letrista: Natan Soares Editor original: Stan Lee
Publicada originalmente em  Journey Into Mystery (1952) n° 92/1963 - Marvel Comics
       
Título original: ""The day Loki stole Thor's magic hammer"".Adaptado para o desenho dos anos 60 como ""Chained evil"" (“Cadeia satânica”). O maquiavélico irmão do deus do trovão aprisionado a uma rocha por Odin consegue se libertar com a ajuda involuntária do nosso herói.13 Páginas",Journey Into Mystery,92,1963,"Robert Bernstein - ‘R Berns’ Arte:  Joe Sinnott Cores:  Rita de Carvalho Letrista:  Natan Soares Editor original:  Stan Lee
Publicada originalmente em   Journey Into Mystery (1952) n° 92/1963 - Marvel Comics
             
Título original: ""The day Loki stole Thor's magic hammer"".Adaptado para o desenho dos anos 60 como ""Chained evil"" (“Cadeia satânica”). O maquiavélico irmão do deus do trovão, aprisionado a uma rocha por Odin, consegue se libertar com a ajuda involuntária do nosso herói.13 Páginas",NA,"Adaptado para o desenho dos anos 60 como ""Chained evil"" (“Cadeia satânica”). O maquiavélico irmão do deus do trovão, aprisionado a uma rocha por Odin, consegue se libertar com a ajuda involuntária do nosso herói.13 Páginas"
40,Heróis da TV,7,5,No limiar da loucura,Capitão Marvel,"Capitão Marvel Rick Jones Doutor Webb Senhor Weiss
Argumento: Gil Kane Roteiro: Roy Thomas Desenho: Gil Kane Arte-Final: Dan Adkins Editor original: Stan Lee
Publicada originalmente em  Captain Marvel (1968) n° 19/1969 - Marvel Comics
       
Título original americano: “The mad master of the murder maze!”. O sociólogo Cornélius Webb aluga para Rick Jones um apartamento em condomínio de luxo. Mas acontecimentos estranhos acontecem no local até que Mar-Vell descobre tratar-se de um experimento de Webb que quer reduzir o comportamento humano ao de ratos de laboratório. A seção de cartas da revista original informa que Gil Kane é o autor do argumento (“plot”) desta história.20 Páginas",Captain Marvel,19,1969,Roy Thomas,Gil Kane,NA
41,Heróis da TV,7,6,Massacre na Amazônia,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Black Jack Tarr Sir Nayland-Smith Si-Fan Fu Manchu,Master of Kung Fu,24,1975,Doug Moench,"Jim Starlin,  Walter ""Walt"" Simonson,  Alan Lee Weiss,  Allen ""Al"" Milgrom",NA
42,Heróis da TV,8,1,A hora da vingança,Punho de Ferro,Punho de Ferro Ninja Harold Meachum Wendell Rand Heather Rand Ferro Triplo Princesa Azir,Marvel Premiere,17,1974,Doug Moench,Larry Hama,18 Páginas
43,Heróis da TV,8,2,A hora da vingança - Parte II,Punho de Ferro,Punho de Ferro Ferro Triplo Harold Meachum Trovejante Ninja Lee Wing Joy Meachum Yu-Ti Wendell Rand Heather Rand,Marvel Premiere,18,1974,Doug Moench,Larry Hama,17 Páginas
